#M	#B	#Type	#Address
60	100	TRC	TSNRXZtNXf9M6fXVpnQ6zZKVQwHY2PuJDk
60	100	TRC	TBahWaH5uQ9cSvDpRubqLtBkGk7mpusjVx
60	100	ERC	0xD2D6A5eFfeF55F0452658b6b65B4Eb687d6BA930
60	100	TRC	TVz3W3fzGj8P5rNWU3LZxqPv3rMfb66xoK
60	100	ERC	0x0C8b1Db737d72E3815d1239E2067483a902A0796
60	100	ERC	0xffa5dA497EE7A20dEc8d177907b934aFC09Ca5af
60	100	TRC	TWe6yTsucCq5GesZLLSCRHNjDUJD6WzQZe
5	200	TRC	TGaQJEgMvzUG8wvABJPC6wAn5e9KCug1ua
5	100	BTC	bc1qg2rvhdkhry6l46dw6qgrr6hz3uzx3wv5meqvmr
5	100	ERC	0xBe036d4De247955Da01ed37A61f4973De07571ba
15	100	ERC	0xf39Fd6e51aad88F6F4ce6aB8827279cffFb92266
15	100	ERC	0xEeaC6871fdb331e8430431eFFA983D466eF5abE0
15	100	TRC	TKYrZ5NU3kpaMCzrVYMjBYNzxSp7c5SbWB
15	100	BTC	bc1q5t753u8a7zney0hupa97yv3qqmxdkqy0qdery7
15	100	ERC	0xb93936917c2B63E2A5F55AcB03907a8c0f4eAD13
15	100	TRC	TTsQjDJhbna1qKdchHKdjG9rhBDSbVJG9X
15	100	BTC	bc1pkwylxzm78e90w7j5ygfzzpe7jyn0hlklfrskqfgnhryd9smxnw8qzql53q
15	100	ERC	0x5ee712a78c7A3Df7c8eA647ABc039e7202041D87
15	100	TRC	TCLKj5tSCzwrQYVHS6Jis3vvr22nTjQpJv
15	100	BTC	bc1qangd0f0dky0yptn9jevxs7cddapvfsuxpdur0f
60	1	ERC	0x3BE8CfF563840403F3eFe4B869E7Ce38DDCC6A74
60	1	BTC	37X82Ykv6zF7a4AQekxAsx3oF3zPNscBjs
60	1	ERC	0x8BDE046E06AFcD807DDF5717937c9A29915BeAfc
